VTeam,HTeam
Los Angeles Lakers,Miami Heat
Memphis Grizzlies,Minnesota Timberwolves
New York Knicks,Orlando Magic
Golden State Warriors,San Antonio Spurs
Portland Trail Blazers,Washington Wizards
Los Angeles Clippers,Atlanta Hawks
Boston Celtics,Charlotte Hornets
Cleveland Cavaliers,Detroit Pistons
Utah Jazz,Indiana Pacers
Dallas Mavericks,Memphis Grizzlies
Denver Nuggets,Milwaukee Bucks
San Antonio Spurs,New Orleans Pelicans
Phoenix Suns,Philadelphia 76ers
Oklahoma City Thunder,Sacramento Kings
Brooklyn Nets,Miami Heat
Portland Trail Blazers,New York Knicks
Toronto Raptors,Orlando Magic
Los Angeles Clippers,Washington Wizards
Toronto Raptors,Atlanta Hawks
New York Knicks,Boston Celtics
Phoenix Suns,Chicago Bulls
Indiana Pacers,Charlotte Hornets
Los Angeles Lakers,Cleveland Cavaliers
Brooklyn Nets,Dallas Mavericks
Oklahoma City Thunder,Golden State Warriors
Detroit Pistons,Houston Rockets
Portland Trail Blazers,Milwaukee Bucks
Denver Nuggets,Minnesota Timberwolves
New Orleans Pelicans,Philadelphia 76ers
Memphis Grizzlies,San Antonio Spurs
Sacramento Kings,Utah Jazz
Boston Celtics,Atlanta Hawks
Minnesota Timberwolves,Brooklyn Nets
Miami Heat,Chicago Bulls
Orlando Magic,Denver Nuggets
Houston Rockets,Detroit Pistons
Portland Trail Blazers,Golden State Warriors
San Antonio Spurs,Indiana Pacers
Memphis Grizzlies,Los Angeles Clippers
Utah Jazz,Los Angeles Lakers
Phoenix Suns,Milwaukee Bucks
New Orleans Pelicans,New York Knicks
Charlotte Hornets,Oklahoma City Thunder
Cleveland Cavaliers,Philadelphia 76ers
Washington Wizards,Toronto Raptors
Houston Rockets,Cleveland Cavaliers
Boston Celtics,Dallas Mavericks
Sacramento Kings,Golden State Warriors
San Antonio Spurs,Milwaukee Bucks
Chicago Bulls,Minnesota Timberwolves
Denver Nuggets,Oklahoma City Thunder
New Orleans Pelicans,Washington Wizards
Charlotte Hornets,Atlanta Hawks
Philadelphia 76ers,Brooklyn Nets
Phoenix Suns,Detroit Pistons
Orlando Magic,Los Angeles Lakers
New York Knicks,Memphis Grizzlies
Los Angeles Clippers,Portland Trail Blazers
Utah Jazz,Sacramento Kings
Miami Heat,Toronto Raptors
San Antonio Spurs,Chicago Bulls
Milwaukee Bucks,Charlotte Hornets
Minnesota Timberwolves,Cleveland Cavaliers
Orlando Magic,Golden State Warriors
Boston Celtics,New Orleans Pelicans
Indiana Pacers,Utah Jazz
Houston Rockets,Washington Wizards
Los Angeles Lakers,Denver Nuggets
New York Knicks,Detroit Pistons
Toronto Raptors,Memphis Grizzlies
Atlanta Hawks,Miami Heat
Indiana Pacers,Phoenix Suns
Utah Jazz,Brooklyn Nets
Atlanta Hawks,Charlotte Hornets
Dallas Mavericks,Houston Rockets
Phoenix Suns,Los Angeles Clippers
Chicago Bulls,Milwaukee Bucks
San Antonio Spurs,Minnesota Timberwolves
Washington Wizards,New Orleans Pelicans
Cleveland Cavaliers,Oklahoma City Thunder
New York Knicks,Philadelphia 76ers
Orlando Magic,Portland Trail Blazers
Indiana Pacers,Los Angeles Lakers
Los Angeles Clippers,Sacramento Kings
Golden State Warriors,Toronto Raptors
Cleveland Cavaliers,Boston Celtics
Memphis Grizzlies,Brooklyn Nets
Utah Jazz,Charlotte Hornets
Chicago Bulls,Detroit Pistons
Dallas Mavericks,Los Angeles Lakers
New Orleans Pelicans,Miami Heat
Atlanta Hawks,Oklahoma City Thunder
Washington Wizards,Philadelphia 76ers
Orlando Magic,Phoenix Suns
Denver Nuggets,Portland Trail Blazers
Houston Rockets,San Antonio Spurs
